Наименование;Цена
Ксерокс Drum for 113R00773  Xerox 3610;40
Антивирусы Kaspersky Nod-32;
Антивирус Касперский Plus  5 ключ  1год;27
Антивирус Касперский Standart  3 ключ  1год;18
Антивирус Касперский Standart  5 ключ  1год;19
Антивирус norton security deluxe    2 ключа на 1 год;20
Антивирус Касперский Plus  3 ключ  1год;22
Батарейки для UPS;
Батарейка MERCURY SEALED LEADED BATTERY 8.2AH/12V;19
Батарейка  12 В 5 Ампер;15
Батарейка MERCURY SEALED LEADED BATTERY 9AH/12V;22
Блок-Питание Mercury;
Блок Питания GALAX OMEGA GL650S, Power Supply;40
Блок Питания Segotep Power Supply AN650W;40
Блок Питания Segotep Power Supply GM1000W (ATX3.0 & PCIE 5.0);110
Блок Питания Segotep Power Supply GM1250W;125
Блок Питания Segotep Power Supply GM1250W (ATX3.0 & PCIE 5.0);125
Блок Питания Vision 550wat;8,5
Блок Питания Vision 550wat МИНИ;9
Блок Питания Vision 750 wat ОЕМ;34
Блок Питания Vision 850 wat ОЕМ;37
Блок Питания 500 wat Dragon;8,5
Блок Питания Segotep Power Supply GM850W;90
Блок Питания Vision 600wat;22
Блок Питания Cooler Master 600W;20
Видеокарты;
Видеокарта A76D Black GF RTX3050 6GB EX White PCI-E / GDDR6 96Bit;250
Видеокарта B67D Black GF RTX5060 Ti 1-Click OC White PCI-E 8GB / GDDR7;530
Видеокарта B67O Black GF RTX5060 1-Click OC V2 PCI-E 8GB / GDDR7 128BIT;455
Видеокарта B76O Black GF RTX5050 1-Click OC PCI-E 8GB / GDDR6;375
Видеокарта GALAX B37S Black GF RTX5080 1-Click OC PCI-E 16GB / GDDR7;1 600
Видеокарта Galax PG190 BLACK GF RTX 3060 1-Click OC PCI-E 12GB;385
Видеокарта ASUS GT 710 2G DDR5;50
Видеокарта MSI RTX 5060 8G  Ventus 2X;440
Грандстрим;
Grandstream GRP2602Р Славик;60
Блок Питани для гранстрим телефон;6
Grandstream GRP2601, 2 SIP accounts;45
Grandstream GWN7605, WiFi Access Point,;95
Grandstream GWN7801P, Enterprise Layer 2+ Managed Network Switch, 8-ports Gigabit;190
Grandstream UCM6302, IP PBX appliance, 2 FXO ports, 2 FXS ports, Dual GigE RJ45 Ethernet;520
Grandstream DP755 DECT VoIP Base Station;57
Grandstream GRP2604P,;70
Grandstream GXP1628;70
Grandstream GXP2170;148
Expansion Module for GXP2140, GXP2170 and GXV3240;125
Grandstream DP750, Wireless DECT Base Station;55
Grandstream GXP1615, Small-Medium Business IP Phone;52
Камера Ip;
Камера внутренняя Dahua IPC-HDW1239T1P-A-LED-0280B (23465);33
Камера внутренняя IPC-T22EP-0280B-imou;3
Камера наружная Dahua HAC-ME1509THP-A-PV-0360B-S2;60
Камера наружная Dahua IPC-HFW1239S1P-LED-0280B-S5-QH2;29
Камера Аналог;
Камера наружная Dahua DH-HAC-HFW1200CMP-IL-A-0280B;23
Камера внутренняя Dahua HAC-ME1509HP-A-PV-0280B-S2;64,5
Дамафон;
Домофон Блок питания Dahua PFM320S-50-PMT, PMT-12V50W1AA;16
Домофон Электромеханический Замок Dahua ASF601A;43
Домофон Видеорегистратор HDCVI Dahua XVR5104C-I3;64
Домофон Аналоговый Видеодомофон Dahua KTA02 Kit комплект;75
Домофон IP Видеодомофон Dahua KTP01(S)  Kit комплект;300
Жоский Диск Внешка;
HDD 2Tb Toshiba Canvio Basics;99
HDD 1Tb  Toshiba Canvio Basics;87
HDD WD   My Book 8Tb;295
HDD Seagate Expansion  1Tb;84
HDD Seagate Expansion  2Tb;99
HDD Seagate Expansion  4Tb;148
HDD WD My Passport 2Tb;99
SSD Lexar 512GB SL260 Air Portable;70
SSD Lexar 1TB SL260 Air Portable;105
SSD Lexar 2TB SL300 Air Portable;225
HDD 4Tb  Toshiba Canvio Basics;158
HDD WD My Passport  4TB;158
SSD Lexar 1TB SL300 Air Portable;125
