Наименование;Цена
Флешки ADATA KINGSTON  TRANSCEND  APACER;
Флешка 64GB Lexar  JumpDrive D400 USB 3.0;12
Флешка 128 GB ADATA  USB 3.0;12
Флешка Usb 3.0 Samsung 128 GB;8
Карта памяти 128Gb MicroSD Lexar High-Performance 633x;24
Карта памяти 32Gb MicroSD Lexar High-Performance 633x;13
Карта памяти 64Gb MicroSD Lexar High-Performance 633x;14
Флешка Sandisk  32 GB микро;15
Флешка 32 GB Lexar  JumpDrive D400 USB 3.0;10
Флешка 256 GB Lexar  JumpDrive D400 USB 3.0;33
Флешка 128 GB Lexar  JumpDrive D400 USB 3.0;16
Карта Памяти  256 Gb Lexar High-Performance 1066x microSDXC;28
Дип кул;
Дип Кул CASE CH 370  WHITE;71
Дип Кул CASE CH 370 BLACK;71
Дип Кул LIQUID COOLER  LQ240;99
Дип Кул LIQUID COOLER  LT 360 ARGB;110
Дип Кул POWER PL800 D;70
Дип Кул  LIQUID COOLER  LM360;90
Дип Кул LIQUID COOLER  LE 360 PRO;65
Дип Кул CASE CG530 4F;70
Дип Кул CASE CG580 4F V2;80
Дип Кул  MYSTIQUE 240 ARGB;115
Дип Кул POWER PN1000 D;95
Дип Кул POWER PF750;55
Дип Кул CASE MATREXX 50;60
Дип Кул  N200 Notebook Cooler;10
Дип Кул U PAL Notebook Cooler;13
Дип Кул AIR COOLER CK-11508;5
Дип Кул CASE CH 160  WHITE;46
Дип Кул LIQUID COOLER  MYSTIQUE 240 ARGB;120
Дип Кул POWER PF600X;40
Дип Кул COOLER  LQ 360 ULTRA  ARGB;110
Дип Кул CASE CC560 LIMITED V2;50
Дип Кул CASE CG380 3F;60
Дип Кул MULTI CORE X6 Notebook Cooler;20
Прочие;
Виндовс офис;20
Куди;
Куди Cudy M1200(3-Pack) AC1200 Wi-Fi Mesh Solution;65
Куди Cudy M1300(3-Pack)AC1200 Wi-Fi Gigabit Mesh Solution;90
Куди Cudy M1500(3-Pack) AX1500 Gigabit Wi-Fi 6 Mesh Solution;100
Куди Cudy M3000(3-Pack) AX3000 Wi-Fi 6 Mesh 2.5G Solution;150
Куди Cudy UE10C USB-C to Ethernet Adapter;9
Куди Cudy UE25C;15
Куди Cudy UH40A 4-Port USB-A 3.0 Hub;6
Куди Cudy UH405 5-IN-1 USB-C Hub with 4K HDMI;10
Куди Cudy UH407 7-IN-1 USB C Hub with 4K HDMI;15
Куди Cudy UH605 5-IN-1 USB Hub with GbE;15
"Куди Cudy UH606 6-IN-1 USB-C Hub 
with GbE & 4K@60Hz HDMI";20
Куди Cudy WU900H AX900 Wi-Fi 6 bluetooth 5.4 High Gain USB  Adapter;12
Куди Cudy WU1400 AC1300 Wi-Fi High Gain USB 3.0 Adapter;15
Куди Cudy WE650 AC650 Wireless Dual-Band PCIe Adapter;13
Куди Cudy WE1300 AC1300 Wireless Dual Band PCIe Adapter;15
Куди Cudy PE10 Gigabit PCI Express Adapter;5
Куди Cudy FS1016 16-Port 10/100 Mbps Metal Switch;25
Куди Cudy FS1024 24-Port 10/100 Mbps Metal Switch;30
Куди Cudy GS1024 24-Port Gigabit Metal Switch;50
Куди Cudy GS1028ES2 26-Port Gigabit Easy-Managed Switch with 2 Combo Ports;85
Куди Cudy FS108D  V5.0;8
Куди Cudy GS105D V5.0;10
Куди Cudy GS108D;15
Куди Cudy GS1016;30
Куди Cudy WR1200;25
Кули Cudy LT300;37
Куди Cudy AP1300 Indoor;40
Куди Cudy AP3000 Outdoor;105
Куди Cudy AP1300 Outdoor;70
Куди Cudy WR3000;45
Куди Cudy M3000S(3-Pack) AX3000 Wi-Fi 6 Mesh Solution;110
Куди Cudy WE3000 AX3000 Wi-Fi 6 PCI Express Adapte;22
Куди Cudy UE10A USB-A to Ethernet Adapter;9
Куди Cudy UE25A USB-A to 2.5G Ethernet Adapter;15
Куди Cudy WE9300 BE9300  Wi-Fi 7 PCI Express Adapter;36
Куди Cudy PE10G 10G PCI Express Adapter(Marvell AQC113;50
Куди Cudy WR1300 V5.0;30
Микротик;
Mikrotik CRS326-24G-2S+RM;265
Mikrotik RBLHG5kit;85
Mikrotik SXTsq Lite5;59
MikroTik hAP RB951Ui-2nD;55
MikroTik SXT sq Lite 5 ax;85
MikroTik Hex RB750Gr3;78
MikroTik RB4011iGS+RM;280
MikroTik CRS106-1C-5S;75
MikroTik hEx PoE Lite;77
MikroTik hAP ax S;100
MikroTik RB5009UG+S+IN;280
MikroTik mANTBox ax 15s;225
MikroTik LHG-5axD;125
MikroTik hAP ac Lite RB952;75
MikroTik CRS305-1G-4S+IN;185
MikroTik Wap ax;110
MikroTik MANTBox 12S;125
Ноутбуки;
Ноутбук HP PROBOOK 4 G1i AI ULTRA 7-255U 16GB 512GB DOS PIKE SILVER BACKLIT 16 код 774;830
"Ноутбук ASUS ROG STRIX G815LM-IS96 ULTRA 9-275HX 32GB 1TB RTX 5060 8GB 2.5K WQXGA 240HZ W11 GRAY 18""";2 000
"Ноутбук LENOVO LEGION 83NX0000US 5i ULTRA 9-275HX 32GB 1TB RTX 5060 8GB WQXGA 500NITS W11 16""";1 700
Ноутбук ACER ASPIRE GO 15 AG15-42P-R917 R7-7730U 16GB 512GB FHD WIN 11 PURE SILVER 15.6;590
"Ноутбук LENOVO IP SLIM3 15IRH10 i7-13620H 16GB 512GB BACKLIT LUNA GREY DOS 15.3""";720
Ноутбук HP PROBOOK 450 G10 i5-1335U 16GB 1TB RTX 2050 4GB FHD BACKLIT PIKE SILVER ALUMINUM DOS 15.6;770
"Ноутбук HP VICTUS 15-FA2120NIA CORE7-240H 16GB 512GB RTX5050 8GB FHD IPS   15.6""";1 250
"Ноутбук HP VICTUS 15-FA2013DX i5-13420H 16 GB 512G 3050 6GB FHD IPS W11 15.6""";790
Ноутбук HP 15-FD0183WM i7-1355U 16GB 1TB FHD IPS FINGER PRINT W11 SILVER 15.6;760
Ноутбук DELL LDC15250-5434BLK-PUS i5-1334U 8GB 512GB TOUCH 2K FHD W11 CARBO BLACK 15.6;535
"Ноутбук ASUS E1504FA-AS52 VIVOBOOK GO R5-7520U 8GB 512GB FHD MIXED BLACK 15.6""";470
"Ноутбук LENOVO IP SLIM 3 15IRU8 i3-1315U 8GB 256GB FHD DOS 15.6""";415
Сервер Lenovo ST45V3 4124P/16G/2*960gb ssd/300W;1 300
Ноутбук HP VICTUS 15-FA2115NIA CORE 7-240H 16GB 1TB RTX 5060 8GB FHD IPS MICA SILVER DOS 15.6;1 400
"Ноутбук MSI CROSSHAIR 16 AI U9-275HX 32GB 2TB RTX5070 8GB QHD COSMOS GREY 16""";2 200
"Ноутбук HP PROBOOK 460 G11 ULTRA 7-155U 8GB 512GB BACKLIT FINGERPRINT DOS PIKE SILVER  16"" код 117";755
Ноутбук LENOVO IP SLIM 3i i5-1334U 8GB 512GB FHD W11 15.6;535
Кинетик;
Keenetic Carrier KN-1721;48
Keenetic Sprinter KN-3711;120
Keenetic Hopper SE KN-3812;145
Netcraze Speedster NC-3013;75
Netcraze Runner 4G (NC-2212);90
Netcraze Giga NC-1012;195
Калонки;
Калонка HP 2111;8
Калонка Kisonli A101S;9
Калонка Philips SPA 2209;9
